Key,Date,mmdd,DayOfTheWeek,Area,Distance,Timestamp,Tip,OrderAmount,TipPercent,Housing,GenderOfTipper,Cash/Credit_Tip,Cash/Credit_Order,PersonWhoDelivered,Area(text),Latitude,Longitude,month
51,42213,728,Tuesday,7,3.1,0.725,4,23.65,16.9133192,House,Male,Credit,Credit,Angel,West of Gary/Glennwood,43.672328,-116.286124,Jul
52,42218,802,Sunday,9,0.6,0.725,3,21.55,13.9211137,Apartment,Female,Credit,Credit,Angel,WhiteWater - Gary (South of State),43.652722,-116.259743,Aug
53,42266,919,Saturday,6,1.9,0.725,5,40.05,12.4843945,House,Female,Credit,Credit,Sammie,Collister - Gary (North of State),43.666573,-116.263356,Sep
54,42274,927,Sunday,1,1.8,0.725,3,21,14.2857143,House,Female,Cash,Cash,Angel,North End,43.633105,-116.208304,Sep
55,42282,1005,Monday,1,2.9,0.725,4,36.9,10.8401084,House,Female,Credit,Credit,Angel,North End,43.633105,-116.208304,Oct
56,42293,1016,Friday,9,0.6,0.724305556,2,18.18,11.0011001,House,Female,Credit,Credit,Sammie,WhiteWater - Gary (South of State),43.652722,-116.259743,Oct
57,42244,828,Friday,5,1.4,0.723611111,3.73,15.27,24.426981,House,Male,Cash,Cash,Sammie,28th - Collister (North of State),43.648076,-116.23413,Aug
58,42260,913,Sunday,8,7.7,0.723611111,6.56,28.44,23.0661041,House,Female,Cash,Cash,Sammie,Hidden Springs,43.723879,-116.255046,Sep
59,42288,1011,Sunday,8,8.2,0.722916667,6,21.8,27.5229358,House,Male,Cash,Credit,Angel,Hidden Springs,43.723879,-116.255046,Oct
60,42247,831,Monday,2,2.3,0.722222222,3.14,23.86,13.1601006,House,Male,Cash,Cash,Sammie,WhiteWater - Downtown (South of State),43.624462,-116.21835,Aug
61,42294,1017,Saturday,1,3.5,0.722222222,1.46,12.54,11.6427432,Business,Male,Cash,Cash,Sammie,North End,43.633105,-116.208304,Oct
62,42295,1018,Sunday,1,3.7,0.722222222,5,24.01,20.8246564,House,Female,Credit,Credit,Sammie,North End,43.633105,-116.208304,Oct
63,42204,719,Sunday,6,2,0.721527778,2,23.14,8.6430424,House,Female,Credit,Credit,Angel,Collister - Gary (North of State),43.666573,-116.263356,Jul
64,42247,831,Monday,5,0.9,0.721527778,0,28.84,0,House,Female,Credit,Credit,Angel,28th - Collister (North of State),43.648076,-116.23413,Aug
65,42253,906,Sunday,6,1.8,0.721527778,3,27.35,10.9689214,House,Female,Credit,Credit,Angel,Collister - Gary (North of State),43.666573,-116.263356,Sep
66,42307,1030,Friday,4,3,0.721527778,4.94,25.06,19.7126895,House,Male,Cash,Cash,Sammie,Bogus Basin - Gary (North of Hill),43.659428,-116.231891,Oct
67,42281,1004,Sunday,10,3.7,0.720833333,3.26,38.74,8.4150749,House,Male,Cash,Cash,Angel,Bogus Basin - Brumback Hills,43.654203,-116.190788,Oct
68,42231,815,Saturday,3,2.4,0.720138889,2,62.33,3.2087277,House,Male,Credit,Credit,Sammie,Garden City,43.633857,-116.24628,Aug
69,42236,820,Thursday,9,0.7,0.720138889,3,25.98,11.5473441,Apartment,Male,Cash,Credit,Angel,WhiteWater - Gary (South of State),43.652722,-116.259743,Aug
70,42252,905,Saturday,9,0.5,0.720138889,7,43,16.2790698,Apartment,Male,Credit,Credit,Angel,WhiteWater - Gary (South of State),43.652722,-116.259743,Sep
71,42274,927,Sunday,2,2.5,0.720138889,4,21,19.047619,Apartment,Male,Cash,Credit,Angel,WhiteWater - Downtown (South of State),43.624462,-116.21835,Sep
72,42295,1018,Sunday,7,2.6,0.720138889,5,18.9,26.4550265,Apartment,Male,Credit,Credit,Angel,West of Gary/Glennwood,43.672328,-116.286124,Oct
73,42239,823,Sunday,4,1.9,0.719444444,1.93,31.07,6.2117799,House,Male,Cash,Cash,Angel,Bogus Basin - Gary (North of Hill),43.659428,-116.231891,Aug
74,42268,921,Monday,6,2.6,0.719444444,3,14.65,20.4778157,House,Female,Credit,Credit,Angel,Collister - Gary (North of State),43.666573,-116.263356,Sep
75,42287,1010,Saturday,3,2.2,0.71875,1.56,28.44,5.4852321,Business,Male,Cash,Cash,Sammie,Garden City,43.633857,-116.24628,Oct
76,42225,809,Sunday,6,0.9,0.718055556,3,11.86,25.2951096,House,Male,Credit,Credit,Angel,Collister - Gary (North of State),43.666573,-116.263356,Aug
77,42258,911,Friday,1,3.1,0.718055556,10,35.19,28.417164,Apartment,Male,Credit,Credit,Sammie,North End,43.633105,-116.208304,Sep
78,42272,925,Friday,7,2.7,0.718055556,6.1,18.9,32.2751323,Apartment,Female,Cash,Cash,Angel,West of Gary/Glennwood,43.672328,-116.286124,Sep
79,42238,822,Saturday,4,3,0.716666667,1.5,10.26,14.619883,House,Male,Credit,Credit,Sammie,Bogus Basin - Gary (North of Hill),43.659428,-116.231891,Aug
80,42309,1101,Sunday,1,3.5,0.715972222,4,26.6,15.037594,House,Male,Credit,Credit,Sammie,North End,43.633105,-116.208304,Nov
81,42260,913,Sunday,6,1.2,0.715277778,1,11.86,8.4317032,Apartment,Female,Credit,Credit,Sammie,Collister - Gary (North of State),43.666573,-116.263356,Sep
82,42227,811,Tuesday,3,2.1,0.714583333,2,16.77,11.9260584,Apartment,Female,Credit,Credit,Angel,Garden City,43.633857,-116.24628,Aug
83,42274,927,Sunday,7,2.6,0.714583333,1,14.65,6.8259386,House,Female,Credit,Credit,Angel,West of Gary/Glennwood,43.672328,-116.286124,Sep
84,42274,927,Sunday,3,3.1,0.714583333,4,12.87,31.0800311,House,Female,Cash,Credit,Sammie,Garden City,43.633857,-116.24628,Sep
85,42287,1010,Saturday,8,8.1,0.714583333,4,27.37,14.6145415,House,Female,Cash,Credit,Angel,Hidden Springs,43.723879,-116.255046,Oct
86,42294,1017,Saturday,1,3.1,0.714583333,4,21.36,18.7265918,House,Male,Credit,Credit,Sammie,North End,43.633105,-116.208304,Oct
87,42238,822,Saturday,9,0.4,0.713888889,2,38.48,5.1975052,Apartment,Female,Credit,Credit,Angel,WhiteWater - Gary (South of State),43.652722,-116.259743,Aug
88,42245,829,Saturday,1,2.3,0.713194444,3,14.65,20.4778157,House,Female,Credit,Credit,Sammie,North End,43.633105,-116.208304,Aug
89,42302,1025,Sunday,8,7.4,0.713194444,8,17.84,44.8430493,House,Female,Cash,Credit,Sammie,Hidden Springs,43.723879,-116.255046,Oct
90,42228,812,Wednesday,4,4.8,0.7125,5,30.97,16.1446561,House,Female,Credit,Credit,Sammie,Bogus Basin - Gary (North of Hill),43.659428,-116.231891,Aug
91,42288,1011,Sunday,1,2.1,0.7125,3.58,28.42,12.5967628,House,Male,Cash,Cash,Angel,North End,43.633105,-116.208304,Oct
92,42252,905,Saturday,2,3.1,0.711805556,1,14.65,6.8259386,Hotel,Male,Cash,Credit,Sammie,WhiteWater - Downtown (South of State),43.624462,-116.21835,Sep
93,42308,1031,Saturday,10,5,0.711111111,4.6,18.4,25,House,Female,Cash,Cash,Sammie,Bogus Basin - Brumback Hills,43.654203,-116.190788,Oct
94,42246,830,Sunday,5,1.1,0.710416667,3.73,12.27,30.399348,House,Female,Cash,Cash,Angel,28th - Collister (North of State),43.648076,-116.23413,Aug
95,42209,724,Friday,6,1.5,0.709722222,5.02,25.98,19.3225558,House,Female,Credit,Credit,Angel,Collister - Gary (North of State),43.666573,-116.263356,Jul
96,42228,812,Wednesday,9,0.0882576,0.709027778,10,17.3,57.8034682,Apartment,Female,Credit,Credit,Sammie,WhiteWater - Gary (South of State),43.652722,-116.259743,Aug
97,42218,802,Sunday,6,0.8,0.708333333,1.28,15.72,8.1424936,Apartment,Male,Cash,Cash,Sammie,Collister - Gary (North of State),43.666573,-116.263356,Aug
98,42225,809,Sunday,5,1.5,0.708333333,4,37.92,10.5485232,House,Female,Credit,Credit,Sammie,28th - Collister (North of State),43.648076,-116.23413,Aug
99,42233,817,Monday,1,2,0.708333333,3,14.65,20.4778157,Apartment,Male,Credit,Credit,Angel,North End,43.633105,-116.208304,Aug
100,42288,1011,Sunday,5,1.3,0.708333333,2.29,15.71,14.5767027,House,Female,Cash,Cash,Angel,28th - Collister (North of State),43.648076,-116.23413,Oct
101,42295,1018,Sunday,3,2.4,0.708333333,0,15.71,0,Business,Male,-,Credit,Sammie,Garden City,43.633857,-116.24628,Oct
102,42302,1025,Sunday,3,2.7,0.708333333,2.1,18.9,11.1111111,Hotel,Male,Cash,Cash,Sammie,Garden City,43.633857,-116.24628,Oct
103,42233,817,Monday,5,1.5,0.707638889,2,14.49,13.8026225,House,Male,Credit,Credit,Sammie,28th - Collister (North of State),43.648076,-116.23413,Aug
104,42253,906,Sunday,8,6.4,0.707638889,4.17,20.83,20.0192031,House,Male,Cash,Cash,Sammie,Hidden Springs,43.723879,-116.255046,Sep
105,42231,815,Saturday,5,0.9,0.706944444,2.25,17.75,12.6760563,House,Female,Cash,Cash,Sammie,28th - Collister (North of State),43.648076,-116.23413,Aug
106,42232,816,Sunday,7,2.9,0.706944444,3,11.48,26.1324042,House,Male,Credit,Credit,Angel,West of Gary/Glennwood,43.672328,-116.286124,Aug
107,42267,920,Sunday,2,2.2,0.70625,11.56,28.44,40.6469761,Apartment,Male,Cash,Cash,Angel,WhiteWater - Downtown (South of State),43.624462,-116.21835,Sep
108,42288,1011,Sunday,8,8.1,0.70625,4.62,45.38,10.1806963,House,Female,Cash,Cash,Sammie,Hidden Springs,43.723879,-116.255046,Oct
109,42236,820,Thursday,3,3.1,0.705555556,3,20.17,14.8735746,Business,Female,Credit,Credit,Angel,Garden City,43.633857,-116.24628,Aug
110,42217,801,Saturday,6,1.7,0.704861111,3,3.93,76.3358779,House,Female,Cash,Credit,Angel,Collister - Gary (North of State),43.666573,-116.263356,Aug
111,42229,813,Thursday,5,1.1,0.704861111,4.69,24.31,19.2924722,House,Male,Cash,Cash,Angel,28th - Collister (North of State),43.648076,-116.23413,Aug
112,42238,822,Saturday,3,2.3,0.704861111,4.98,39.02,12.7626858,Apartment,Male,Cash,Cash,Angel,Garden City,43.633857,-116.24628,Aug
113,42235,819,Wednesday,6,2.2,0.704166667,2,15.18,13.1752306,House,Male,Cash,Credit,Sammie,Collister - Gary (North of State),43.666573,-116.263356,Aug
114,42252,905,Saturday,6,1.3,0.703472222,5,25.66,19.4855807,House,Male,Cash,Credit,Angel,Collister - Gary (North of State),43.666573,-116.263356,Sep
115,42246,830,Sunday,3,3.1,0.702777778,1.99,14.01,14.2041399,Apartment,Female,Cash,Cash,Sammie,Garden City,43.633857,-116.24628,Aug
116,42238,822,Saturday,2,2.6,0.702083333,3,17.42,17.2215844,Apartment,Male,Credit,Credit,Sammie,WhiteWater - Downtown (South of State),43.624462,-116.21835,Aug
117,42267,920,Sunday,10,3.8,0.702083333,2,15.44,12.9533679,Apartment,Male,Cash,Credit,Sammie,Bogus Basin - Brumback Hills,43.654203,-116.190788,Sep
118,42309,1101,Sunday,2,1.7,0.702083333,1.17,8.83,13.2502831,Apartment,Female,Cash,Cash,Sammie,WhiteWater - Downtown (South of State),43.624462,-116.21835,Nov
119,42260,913,Sunday,6,1,0.700694444,4.59,30.41,15.0937192,Apartment,Female,Cash,Cash,Sammie,Collister - Gary (North of State),43.666573,-116.263356,Sep
120,42245,829,Saturday,6,0.3,0.699305556,3.06,14.94,20.4819277,Apartment,Male,Cash,Cash,Sammie,Collister - Gary (North of State),43.666573,-116.263356,Aug
121,42245,829,Saturday,6,1.8,0.699305556,2.82,17.18,16.4144354,House,Male,Cash,Cash,Sammie,Collister - Gary (North of State),43.666573,-116.263356,Aug
122,42236,820,Thursday,2,3.5,0.698611111,5.64,19.36,29.1322314,Business,Male,Cash,Cash,Sammie,WhiteWater - Downtown (South of State),43.624462,-116.21835,Aug
123,42287,1010,Saturday,2,2.9,0.698611111,2,21.43,9.3327112,House,Male,Credit,Credit,Angel,WhiteWater - Downtown (South of State),43.624462,-116.21835,Oct
124,42302,1025,Sunday,2,2.9,0.698611111,0,15.44,0,Hotel,Male,-,Credit,Angel,WhiteWater - Downtown (South of State),43.624462,-116.21835,Oct
125,42218,802,Sunday,1,2.6,0.697916667,0.12,14.88,0.8064516,House,Male,Cash,Cash,Angel,North End,43.633105,-116.208304,Aug
126,42267,920,Sunday,4,2.8,0.697916667,5,24.8,20.1612903,House,Female,Cash,Credit,Angel,Bogus Basin - Gary (North of Hill),43.659428,-116.231891,Sep
127,42211,726,Sunday,7,2.9,0.697222222,5,34.77,14.3802128,House,Male,Credit,Credit,Angel,West of Gary/Glennwood,43.672328,-116.286124,Jul
128,42267,920,Sunday,5,1,0.697222222,1,9.36,10.6837607,House,Male,Cash,Credit,Angel,28th - Collister (North of State),43.648076,-116.23413,Sep
129,42287,1010,Saturday,3,3,0.697222222,0,27.07,0,House,Female,-,Cash,Sammie,Garden City,43.633857,-116.24628,Oct
130,42204,719,Sunday,9,2.73,0.696527778,8.81,27.19,32.4016182,Apartment,Male,Cash,Cash,Angel,WhiteWater - Gary (South of State),43.652722,-116.259743,Jul
131,42224,808,Saturday,4,3.3,0.696527778,5,33.72,14.8279953,Apartment,Male,Credit,Credit,Sammie,Bogus Basin - Gary (North of Hill),43.659428,-116.231891,Aug
132,42231,815,Saturday,7,3.4,0.695833333,5,25.78,19.3948798,House,Female,Credit,Credit,Angel,West of Gary/Glennwood,43.672328,-116.286124,Aug
133,42273,926,Saturday,8,8.4,0.695833333,5,26.31,19.0041809,House,Male,Credit,Credit,Sammie,Hidden Springs,43.723879,-116.255046,Sep
134,42220,804,Tuesday,5,1.5,0.695138889,3,12.53,23.9425379,House,Male,Cash,Cash,Sammie,28th - Collister (North of State),43.648076,-116.23413,Aug
135,42253,906,Sunday,9,2.5,0.695138889,3.57,28.43,12.5571579,House,Male,Cash,Cash,Angel,WhiteWater - Gary (South of State),43.652722,-116.259743,Sep
136,42211,726,Sunday,5,1.2,0.694444444,3,19.94,15.0451354,House,Male,Cash,Credit,Angel,28th - Collister (North of State),43.648076,-116.23413,Jul
137,42204,719,Sunday,2,2.6,0.69375,2.92,22.08,13.2246377,Apartment,Male,Cash,Cash,Angel,WhiteWater - Downtown (South of State),43.624462,-116.21835,Jul
138,42228,812,Wednesday,10,3.1,0.69375,10,27.37,36.5363537,Apartment,Female,Credit,Credit,Sammie,Bogus Basin - Brumback Hills,43.654203,-116.190788,Aug
139,42274,927,Sunday,6,1.1,0.693055556,4.33,32.67,13.2537496,House,Female,Cash,Cash,Sammie,Collister - Gary (North of State),43.666573,-116.263356,Sep
140,42203,718,Saturday,1,2.7,0.692361111,3,21,14.2857143,House,Female,Credit,Credit,Angel,North End,43.633105,-116.208304,Jul
141,42221,805,Wednesday,1,2.5,0.692361111,4,18.88,21.1864407,House,Female,Cash,Credit,Angel,North End,43.633105,-116.208304,Aug
142,42227,811,Tuesday,7,3.3,0.692361111,0.97,15.03,6.4537591,House,Female,Cash,Cash,Angel,West of Gary/Glennwood,43.672328,-116.286124,Aug
143,42246,830,Sunday,2,2,0.692361111,5,27.11,18.4433788,House,Female,Cash,Credit,Angel,WhiteWater - Downtown (South of State),43.624462,-116.21835,Aug
144,42217,801,Saturday,6,0.3,0.691666667,1,8.83,11.3250283,Apartment,Male,Credit,Credit,Angel,Collister - Gary (North of State),43.666573,-116.263356,Aug
145,42266,919,Saturday,5,0.0602273,0.691666667,2.02,12.53,16.1213089,House,Female,Cash,Cash,Sammie,28th - Collister (North of State),43.648076,-116.23413,Sep
146,42229,813,Thursday,7,2.9,0.688888889,4,41.65,9.6038415,House,Male,Credit,Credit,Angel,West of Gary/Glennwood,43.672328,-116.286124,Aug
147,42260,913,Sunday,6,1.3,0.688888889,5,32.76,15.2625153,House,Female,Cash,Cash,Sammie,Collister - Gary (North of State),43.666573,-116.263356,Sep
148,42220,804,Tuesday,6,0.2,0.688194444,2.28,15.72,14.5038168,Apartment,Female,Cash,Cash,Angel,Collister - Gary (North of State),43.666573,-116.263356,Aug
149,42252,905,Saturday,2,2.3,0.6875,7.22,25.78,28.0062064,House,Male,Cash,Cash,Sammie,WhiteWater - Downtown (South of State),43.624462,-116.21835,Sep
150,42288,1011,Sunday,1,2,0.6875,10,25.65,38.9863548,House,Female,Cash,Credit,Sammie,North End,43.633105,-116.208304,Oct
151,42288,1011,Sunday,1,2.8,0.6875,4,28.48,14.0449438,House,Female,Cash,Credit,Sammie,North End,43.633105,-116.208304,Oct
152,42217,801,Saturday,5,2,0.686805556,2.26,16.74,13.5005974,House,Male,Credit,Credit,Angel,28th - Collister (North of State),43.648076,-116.23413,Aug
153,42236,820,Thursday,7,2.4,0.686805556,5,15.27,32.7439424,House,Female,Credit,Credit,Angel,West of Gary/Glennwood,43.672328,-116.286124,Aug
154,42267,920,Sunday,5,1.5,0.686805556,4,17.51,22.8440891,House,Male,Cash,Credit,Sammie,28th - Collister (North of State),43.648076,-116.23413,Sep
155,42225,809,Sunday,3,3,0.686111111,2.74,22.26,12.3090746,Apartment,Male,Cash,Cash,Angel,Garden City,43.633857,-116.24628,Aug
156,42267,920,Sunday,5,0.2,0.686111111,1.99,11.47,17.3496077,House,Female,Cash,Cash,Sammie,28th - Collister (North of State),43.648076,-116.23413,Sep
157,42231,815,Saturday,2,1.5,0.685416667,5,40.59,12.318305,House,Male,Credit,Credit,Sammie,WhiteWater - Downtown (South of State),43.624462,-116.21835,Aug
158,42238,822,Saturday,3,2.7,0.684722222,2,22.44,8.912656,House,Female,Credit,Credit,Angel,Garden City,43.633857,-116.24628,Aug
159,42273,926,Saturday,1,2,0.684722222,4,23.66,16.9061708,Apartment,Male,Credit,Credit,Angel,North End,43.633105,-116.208304,Sep
160,42203,718,Saturday,2,3.2,0.683333333,4.69,19.31,24.2879337,Hotel,Male,Cash,Cash,Angel,WhiteWater - Downtown (South of State),43.624462,-116.21835,Jul
161,42229,813,Thursday,6,1,0.682638889,2,13.28,15.060241,Apartment,Male,Credit,Credit,Angel,Collister - Gary (North of State),43.666573,-116.263356,Aug
162,42211,726,Sunday,2,2.9,0.681944444,6,14.65,40.9556314,House,Female,Credit,Credit,Angel,WhiteWater - Downtown (South of State),43.624462,-116.21835,Jul
163,42309,1101,Sunday,1,2.8,0.681944444,5,16.73,29.8864316,House,Female,Cash,Credit,Sammie,North End,43.633105,-116.208304,Nov
164,42203,718,Saturday,6,1.7,0.679861111,3.95,28.05,14.0819964,House,Female,Credit,Credit,Angel,Collister - Gary (North of State),43.666573,-116.263356,Jul
165,42288,1011,Sunday,6,0.2,0.679861111,3,21,14.2857143,Apartment,Male,Credit,Credit,Sammie,Collister - Gary (North of State),43.666573,-116.263356,Oct
166,42295,1018,Sunday,2,2.8,0.679861111,3.39,24.61,13.7748883,House,Male,Cash,Cash,Sammie,WhiteWater - Downtown (South of State),43.624462,-116.21835,Oct
167,42224,808,Saturday,6,0.8,0.679166667,5,31.74,15.7529931,Apartment,Male,Credit,Credit,Sammie,Collister - Gary (North of State),43.666573,-116.263356,Aug
168,42287,1010,Saturday,7,2.6,0.678472222,5.14,11.86,43.3389545,Apartment,Male,Cash,Cash,Sammie,West of Gary/Glennwood,43.672328,-116.286124,Oct
169,42302,1025,Sunday,2,2.6,0.677083333,3.3,21.7,15.2073733,House,Male,Cash,Cash,Angel,WhiteWater - Downtown (South of State),43.624462,-116.21835,Oct
170,42252,905,Saturday,5,1.2,0.676388889,0,8.83,0,Apartment,Male,-,Credit,Angel,28th - Collister (North of State),43.648076,-116.23413,Sep
171,42217,801,Saturday,5,0.6,0.675,3.55,16.45,21.5805471,Business,Female,Cash,Cash,Angel,28th - Collister (North of State),43.648076,-116.23413,Aug
